상권_코드_명,곱창집_적합도_점수,T1_야간유동인구,한식_월매출,한식_점포수,C2_상권활성도,T1_점수,T2_점수,C1_점수,C2_점수,E1_점수
충정로역 7번,43.39333916674278,1495321,0.0,0.0,120933474.0,59.307657374484144,0.0,100.0,0.011606549635633151,55.99300971952186
강남역,38.85093689360961,2521295,56439136006.0,1.0,419676480385.0,100.0,0.004979562161708391,0.0,40.27830954807703,28.079455708576244
종로?청계 관광특구,32.55478895377314,2253271,45041308333.0,1.0,231175233640.0,89.36958983379573,0.004446640440067535,0.0,22.18696556895199,24.14755508181608
국기원,32.52485568730806,230353,0.0,0.0,2389199228.0,9.136297021966886,0.0,100.0,0.22930259515407955,97.4957119144488
"신촌역(신촌역, 신촌로터리)",31.11757169658351,2150525,20004622800.0,1.0,93311265251.0,85.29446177460393,0.002069284980705768,0.0,8.955517408682583,41.85388231654766
경문고등학교(동작동성당),30.879213839160858,331565,0.0,0.0,451000716.0,13.150583331184967,0.0,100.0,0.04328464256273735,69.27546143420959
노원역 9번,30.845104908115477,258932,0.0,0.0,1393244744.0,10.26980182802885,0.0,100.0,0.13371619735178536,77.44106930104053
도림초등학교,30.488031291608657,314275,0.0,0.0,190920061.0,12.46482462385401,0.0,100.0,0.018323488866569808,67.45835381122468
연희지하차도,30.130579183497588,313957,0.0,0.0,12124323.0,12.452212057692574,0.0,100.0,0.0011636278363916731,63.947410220143574
수유북부골목시장,30.016717599487563,1405,0.0,0.0,0.0,0.05572533162521641,0.0,100.0,0.0,100.0
국립재활원,29.980616365674486,263664,0.0,0.0,353658957.0,10.45748315845627,0.0,100.0,0.03394229986733657,68.38280073157503
강남구청역 4번,29.58518015958248,256972,0.0,0.0,1799283311.0,10.19206399885773,0.0,100.0,0.17268561273355848,65.01658118015128
용두희망어린이공원,29.497484036010746,253008,0.0,0.0,550672479.0,10.034843205574912,0.0,100.0,0.05285060661112451,64.791034833466
이태원역 북측,29.49488301588277,134466,0.0,0.0,0.0,5.333211702716263,0.0,100.0,0.0,78.94919505067894
서연중학교,29.4704704423434,212852,0.0,0.0,1343827967.0,8.442169599352715,0.0,100.0,0.1289734387415141,69.1847354672636
도곡시장,29.43445081838823,31679,0.0,0.0,3108475489.0,1.2564574950571035,0.0,100.0,0.29833489323417217,90.12763335885973
대림차이나타운(대림역 12번),29.38103470770013,181658,0.0,0.0,1266781594.0,7.204948250799688,0.0,100.0,0.12157893891535344,72.01313391622921
제기동역 1번,29.308740373973187,243342,0.0,0.0,3612486622.0,9.65146878885652,0.0,100.0,0.3467071928017526,63.612936583959666
방배역 3번,29.238864724400475,249066,0.0,0.0,913015922.0,9.878494979762383,0.0,100.0,0.08762639711165798,62.62172270905011
백석중학교,29.185984543995147,225566,0.0,0.0,57956532.0,8.946434272863748,0.0,100.0,0.005562358734250544,65.01219908325885
대림역 11번,29.14043059599941,111241,0.0,0.0,37053202.0,4.412058089196226,0.0,100.0,0.0035561686433661995,78.16279743944033
중곡1동주민센터,29.123651065189097,100983,0.0,0.0,88132283.0,4.005203675095536,0.0,100.0,0.008458466322907154,79.20821192712002
방화초등학교,29.10706844188826,174183,0.0,0.0,1341377206.0,6.90847362169044,0.0,100.0,0.1287382277759251,70.15215621214737
신정네거리역 2번,29.06484189612002,219635,0.0,0.0,271267319.0,8.711198015305627,0.0,100.0,0.026034790024295772,64.47577273024689
마천공원,29.01669538153627,176867,0.0,0.0,699933739.0,7.014926853065587,0.0,100.0,0.06717590601389488,69.0214093971451
종로3가역,28.96211182621979,1775563,35012517932.0,1.0,324292339823.0,70.42265978396023,0.00438653551068715,0.0,31.123848626156747,31.656399632305376
계남근린공원,28.936729926934028,200715,0.0,0.0,203202362.0,7.960789990857872,0.0,100.0,0.01950227858856429,65.4556758788838
청림동주민센터(상도중학교),28.891747908136864,152909,0.0,0.0,23073735.0,6.064700877921862,0.0,100.0,0.0022144939833362094,70.72005470662805
동서시장,28.7856808366492,20076,0.0,0.0,152941822421.0,0.796257478795619,0.0,100.0,14.678540147565164,63.45022570875738
문래동남성맨션,28.76897441357285,62097,0.0,0.0,0.0,2.4629010092036037,0.0,100.0,0.0,80.30104110811769
